root_id,x_nm,y_nm,z_nm
720575940628336598,822736,170116,15930
720575941440977215,189480,153188,24570
720575941516432787,233712,168668,73800
720575941537120483,311152,127344,124965
720575941478618161,805844,117136,59265
720575941414456980,169480,197424,94590
720575941460253168,878892,115284,86220
720575941652179697,164164,147280,138825
720575941542105037,797216,139312,26460
720575941590726468,736216,171448,38115
720575941612473674,886448,103628,42705
720575941576228617,789516,128468,57870
720575941558126095,225276,78056,148905
720575941465712662,218080,201808,25515
720575941689952780,785972,157288,40455
720575941461762374,255088,99284,143730
720575941548826145,143500,129392,79560
720575941513951052,633300,188008,148725
720575941574419784,669696,166288,139185
720575941549976609,651148,203404,102240
720575941505578839,676112,178888,123930
720575941605327801,667208,198012,127215
720575941470353728,293456,155192,160740
720575941463778448,238956,93524,206865
720575941488814537,727016,128444,156240
720575941503474482,767548,156968,80370
720575941481738749,766284,142736,93105
720575941535928547,276116,232680,97785
720575941476257345,140544,135744,24930
720575941573825182,177248,124172,115470
720575941651963153,257620,128932,119115
720575941537181672,138596,177708,112005
720575941610299238,330496,215360,86625
720575941541577677,207884,111680,90450
720575941597639301,219652,107400,185760
720575941685985519,258688,126536,124785
720575941624194412,212916,102268,100620
720575941489183952,294124,202092,58320
720575941605147382,124560,120348,84060
720575941470072896,216156,110236,190800
720575941494941360,224404,173432,30960
720575941509179664,204884,124388,87030
720575941596722844,189012,102224,99450
720575941480080579,250284,209548,60165
720575941689994102,232368,97588,187830
720575941564160680,599916,104836,217980
720575941527834756,250412,221600,102690
720575941493468286,227900,192044,160335
720575941625347722,557544,724360,263880
720575941475558942,291064,166084,122130
720575941598482076,141372,188520,128700
720575941442528703,251380,135960,95895
720575941548643252,149920,182436,116460
720575941448036884,302680,173968,125055
720575941685838575,195680,173200,94095
720575941548056381,228912,202672,111825
720575941489571788,234868,207560,158535
720575941573367048,238612,203248,137610
720575941529238456,157788,125008,116190
720575941565454390,162924,144388,96570
720575941414784540,306988,187816,79335
720575941458027590,200116,216288,56160
720575941450741063,212276,176632,88650
720575941624206700,146100,229848,88560
720575941661790776,286916,178028,137520
720575941429199608,237268,195384,76365
720575941593601575,289920,234636,81180
720575941525453643,156068,111540,109305
720575941682218685,189832,95940,130815
720575941686838284,212520,122396,76095
720575941535117443,217780,150868,152910
720575941473299754,225988,163804,82755
720575941502645554,227220,188740,131715
720575941482146499,303484,184936,110070
720575941615874517,211352,147336,139095
720575941547680801,383948,193212,170775
720575941536954378,659876,107756,112365
720575941528650918,647684,118996,132975
720575941618248661,271412,172680,138510
720575941441325659,429824,171328,239670
720575941576117149,714072,124644,92745
720575941466656854,282960,168800,92115
720575941467862358,196728,105196,157500
720575941679465149,237252,205800,96030
720575941451565993,186976,93336,171855
720575941530981816,701904,145216,109170
720575941499924386,269704,133992,120060
720575941436819756,177860,116828,118485
720575941534399498,280760,133464,156240
720575941410358575,777168,96848,91845
720575941443163855,212156,216108,28485
720575941560145523,167172,128352,96120
720575941506883618,231812,206872,123075
720575941593445846,242604,232692,61425
720575941394668950,170488,121420,90045
720575941489586377,135260,201808,120825
720575941415121180,167660,144320,25830
720575941610581421,197024,200920,26145
