root_id,x_nm,y_nm,z_nm
720575941594316840,416704,74352,80595
720575941506040770,453032,55704,112095
720575941496341374,403336,66124,101430
720575941576163849,603408,62524,139905
720575941536384178,422876,55024,112680
720575941547393980,589296,60888,140985
720575941561746035,478504,63964,135225
720575941534220517,365708,127476,65430
720575941733909291,542840,69240,155790
720575941690130806,409084,70284,86040
720575941520786798,476760,64108,130005
720575941577867880,594664,58668,140040
720575941612929945,368608,159744,79245
720575941505254743,638336,226124,96165
720575941536645554,525424,199068,187470
720575941568103783,778420,154172,54945
720575941551719028,692044,180100,166005
720575941610308710,271760,170856,154890
720575941645238728,598620,561860,119925
720575941491950025,223688,218832,92115
720575941662474552,422248,205372,173475
720575941536973034,659496,164908,161640
720575941701141210,296972,204780,106605
720575941594055281,305956,173872,140175
720575941662081916,273060,159248,147195
720575941575835899,301852,173652,143595
720575941434475552,298856,165564,167175
720575941457805727,244608,176268,108090
720575941609129290,345816,174048,133335
720575941513577721,264704,161592,152595
720575941476614196,397208,131032,67095
720575941462655187,358004,220392,173070
720575941626168219,603064,70896,88245
720575941600019753,390912,114044,81405
720575941451448413,395740,122032,72090
720575941516461155,591928,85512,75645
720575941490639561,593492,67044,88695
720575941528518733,316856,187372,126180
720575941583307129,601300,222360,142020
720575941626430858,291204,115256,181620
720575941481464800,622084,92680,87480
720575941567972406,297836,218680,144450
720575941478188084,265100,135384,105255
720575941478581610,602196,184548,202455
720575941432246286,412796,75572,84330
720575941559125156,233740,125564,97200
720575941403542819,192768,109568,201105
720575941550343457,323604,115692,183555
720575941555061383,403108,144728,71820
720575941445878954,653276,141960,231435
720575941594841383,689140,129612,147060
720575941529109124,682416,115060,146835
720575941432050313,564500,127376,178020
720575941571510772,518388,223296,172890
720575941571511028,267704,170156,72900
720575941486839046,593304,638328,108675
720575941480480963,473520,370000,130950
720575941557552356,472424,221716,67950
720575941535925018,506848,370000,130860
720575941632459234,496184,370000,119925
720575941504860978,480580,591512,192960
720575941526946562,427032,158220,128295
720575941449745333,415068,906380,250830
720575941450728314,501876,370000,123030
720575941689802870,513072,192432,166590
720575941435983136,491112,810056,188910
720575941464753430,487876,370000,126180
720575941574657032,511644,632544,166500
720575941560566799,456556,878660,193005
720575941577736296,472132,706644,158490
